pixel,value,bettle
84350592,0.007027103008745454,False
84350593,0.0017560028832595011,False
84350594,-0.023128667936885144,False
84350595,-0.022400036713336652,False
84350596,0.01126314851241595,False
84350597,-0.013535386186867851,False
84350598,-0.012923440420629373,False
84350599,0.0027628267751540897,False
84350600,-0.05242826929633995,False
84350601,-0.06283364658285512,False
84350602,-0.02142183184410615,False
84350603,0.07530690645164775,False
84350604,0.03302014208727512,False
84350605,0.04036428789794537,False
84350606,0.13228950715281543,False
84350607,0.07382936820992098,False
84350608,0.10967683426982633,False
84350609,0.03180449768115071,False
84350610,0.03759696329010886,False
84350611,0.08904088004709453,False
84350612,0.011361132213055411,False
84350613,-0.05235479841263893,False
84350614,-0.12319365724850703,True
84350615,-0.05055866039409612,False
84350616,0.031004697175157414,False
84350617,0.039314530276573806,False
84350618,-0.036342006572212,False
84350619,-0.0010005606428690485,False
84350620,-0.06381435850306948,False
84350621,-0.06813497631023449,False
84350622,-0.06967787664758321,False
84350623,-0.03715770284360714,False
84350624,0.06489784839077405,False
84350625,0.1132101750133909,False
84350626,0.0724422401191114,False
84350627,-0.038392855488061754,False
84350628,0.13335827891167637,False
84357312,0.003209301372248278,False
84357313,0.015579465364198774,False
84357314,-0.004682625848047866,False
84357315,-0.019918784025123513,False
84357316,-0.009591075152190879,False
84357317,-0.034009131992755404,False
84357318,-0.03507546264949933,False
84357319,-0.051534932512267574,False
84357320,-0.12118347648041751,True
84357321,-0.107315489400027,True
84357322,0.060212459368016155,False
84357323,-0.013907205905973555,False
84357324,0.0015708779469164732,False
84357325,0.045527508919184605,False
84357326,0.03375187524533168,False
84357327,0.03555416697123053,False
84357328,-0.05177153058238519,False
84357329,0.029544296337182193,False
84357330,0.05258082258961077,False
84357331,0.024509116951166005,False
84357332,0.06346943401963011,False
84357333,0.04134561123716717,False
84357334,-0.037587932216710515,False
84357335,0.017069425011669918,False
84357336,0.08289291394812887,False
84357337,-0.08445902580454989,False
84357338,0.000367034838363884,False
84357339,0.030556650763413486,False
84357340,0.023190066725020587,False
84357341,0.029889627858706795,False
84357342,0.010720810721980608,False
84357343,-0.0695954049409459,False
84357344,-0.07527078573281121,False
84357345,-0.03516641948341218,False
84357346,0.0035525135215515404,False
84357347,-0.03280763838574912,False
84357348,0.10169172603818942,False
84357349,0.06277177369450497,False
84357350,-0.00198307035957147,False
84363954,-0.029453931740152567,False
84363955,-0.0035853039249360025,False
84363956,-0.04642160254158818,False
84363957,-0.07631674628542605,False
84363958,-0.06671436504195184,False
84363959,-0.04183386242441223,False
84363960,-0.021956425696262064,False
84363961,-0.07792075988642257,False
84363962,-0.08631819168985655,False
84363963,-0.0453176049287619,False
84363964,0.04261193341588087,False
84363965,-0.03625361276125604,False
84363966,0.08296154175885258,False
84363967,0.06311821270946508,False
84363968,-0.09887470124216291,False
84363969,-0.06550201302170655,False
84363970,-0.04402992670065139,False
84363971,0.07728347635403762,False
84363972,0.08996775708836806,False
84363973,0.05327915792793777,False
84363974,0.011711145145894568,False
84363975,0.07526147762237524,False
84363976,0.06396597741998555,False
84363977,-0.06613452095248382,False
84363978,-0.09247669611821575,False
84363979,0.017642726873912593,False
84363980,-0.018530587239811016,False
84363981,-0.038770799386049354,False
84363982,-0.017948916635470394,False
84363983,-0.042722128605699905,False
84363984,0.019454503600580042,False
84363985,-0.023072290018948362,False
84363986,-0.058471791287827556,False
84363987,-0.04681048037905087,False
84363988,-0.01776511541575179,False
84363989,0.0023348726420509523,False
84363990,-0.06864174806262302,False
84363991,-0.021530011502871718,False
84363992,-0.04960569486028757,False
84363993,-0.019816005229949946,False
84370544,0.0061117602538650374,False
84370545,-0.019941008421392875,False
84370546,0.11171444244398075,False
84370547,-0.11198871181824946,True
84370548,-0.11878452790099558,True
84370549,-0.06751983381773415,False
84370550,-0.046896433830261215,False
84370551,-0.05049743910303884,False
84370552,-0.008159215820059617,False
84370553,-0.008854181668627444,False
84370554,-0.001116514311717478,False
84370555,-0.06492946770229208,False
84370556,-0.09714542870613489,False
84370557,0.11449471708265413,False
84370558,-0.10999834617612793,True
84370559,,False
84370560,-0.056630319815683144,False
84370561,0.09945266247705685,False
84370562,0.1238950531761588,False
84370563,0.0697939533464491,False
84370564,-0.024458194501345024,False
84370565,-0.03571058895057138,False
84370566,0.08444012737874586,False
84370567,0.019775034877661437,False
84370568,-0.10878696705814259,True
84370569,0.035000733498356223,False
84370570,-0.017585110689164844,False
84370571,-0.03865138697815029,False
84370572,-0.08952451921631799,False
84370573,-0.05500512355181948,False
84370574,0.05542466770827441,False
84370575,-0.03798185050128894,False
84370576,-0.10302116091780282,True
84370577,0.017911810879221213,False
84370578,-0.058675730916535114,False
84370579,-0.023362105265066782,False
84370580,-0.06752661789897296,False
84370581,-0.13492123449374271,True
84370582,-0.11760888507853384,True
84370583,-0.06558932701856394,False
84377144,0.04794026132204077,False
84377145,-0.018649606018164396,False
84377146,0.08493336098402751,False
84377147,-0.10720970336599595,True
84377148,-0.10897080640917646,True
84377149,-0.08705659608585192,False
84377150,-0.07513106640427483,False
84377151,-0.019571443776581127,False
84377152,0.07254811596052871,False
84377153,0.09433468535592655,False
84377154,0.08097385947058665,False
84377155,0.0012093331231966932,False
84377156,0.15498386910105516,False
84377157,0.11980524877469033,False
84377158,-0.007998735600630824,False
84377159,-0.11651781601769717,True
84377160,-0.014268496621115448,False
84377161,0.0738583735727868,False
84377162,0.018926922149086606,False
84377163,-0.04205868600642437,False
84377164,0.0467815073845365,False
84377165,-0.02409878395212011,False
84377166,-0.01719747619199443,False
84377167,0.041156948051434536,False
84377168,-0.045446416355363506,False
84377169,0.050278093376097205,False
84377170,-0.04873901974737433,False
84377171,-0.05535837430194831,False
84377172,0.04577352182847227,False
84377173,-0.07558156335586973,False
84377174,-0.03912720968289724,False
84377175,-0.06437515472335956,False
84377176,0.021899703988890393,False
84377177,-0.01288399283632517,False
84377178,-0.09868894785687965,False
84377179,-0.0983195375646584,False
84377180,-0.032208052175261244,False
84377181,-0.05144309310440555,False
84383728,-0.01927854646765327,False
84383729,-0.012482061939920495,False
84383730,0.16002395516262846,False
84383731,-0.07662333172636282,False
84383732,-0.12872430055325249,True
84383733,-0.0884261578777658,False
84383734,-0.0396006635540999,False
84383735,0.07606877754445124,False
84383736,0.11434769921321346,False
84383737,0.10720727409539323,False
84383738,-0.04666041363888893,False
84383739,-0.011628307051149218,False
84383740,0.049688892293575024,False
84383741,0.16624230389128433,False
84383742,0.033897081500444085,False
84383743,-0.16324915859560887,True
84383744,0.07413517488032993,False
84383745,-0.06677750914965376,False
84383746,-0.04395573596570779,False
84383747,,False
84383748,-0.11266043765914575,True
84383749,0.12448714933680173,False
84383750,0.0021180053892914715,False
84383751,-0.057392771199704776,False
84383752,0.05484854237914676,False
84383753,0.0764305986038867,False
