,datetime,x,y,ndvi,ndvi_scaled,ndsi,ndsi_scaled
0,2025-04-03 10:25:59+00:00,2684895,1295545,0.6656498,6656,-0.39456666,-3945
1,2025-04-05 10:20:41+00:00,2684895,1295545,0.6900255,6900,-0.39076924,-3907
2,2025-04-07 10:17:01+00:00,2684895,1295545,0.68604654,6860,-0.45134574,-4513
3,2025-04-08 10:30:51+00:00,2684895,1295545,0.6516416,6516,-0.4246862,-4246
4,2025-04-23 10:25:59+00:00,2684895,1295545,0.32633102,3263,0.00925476,92
5,2025-04-28 10:30:51+00:00,2684895,1295545,0.5541401,5541,-0.22552735,-2255
6,2025-04-30 10:15:59+00:00,2684895,1295545,0.81112814,8111,-0.43001005,-4300
7,2025-04-30 10:27:01+00:00,2684895,1295545,0.81416374,8141,-0.25173208,-2517
8,2025-05-10 10:15:59+00:00,2684895,1295545,0.8946541,8946,-0.4893268,-4893
9,2025-05-10 10:30:31+00:00,2684895,1295545,0.87041044,8704,-0.24101198,-2410
10,2025-05-13 10:25:59+00:00,2684895,1295545,0.8968825,8968,-0.30109885,-3010
11,2025-05-15 10:16:11+00:00,2684895,1295545,0.08520716,852,-0.020551333,-205
12,2025-05-17 10:17:01+00:00,2684895,1295545,-0.0139312735,-139,-0.000472584,-4
13,2025-05-18 10:26:21+00:00,2684895,1295545,0.059991226,599,-0.04756851,-475
14,2025-05-30 10:15:59+00:00,2684895,1295545,0.92962605,9296,-0.47023815,-4702
15,2025-05-30 10:30:41+00:00,2684895,1295545,0.93153036,9315,-0.4265233,-4265
16,2025-06-09 10:15:59+00:00,2684895,1295545,0.80167425,8016,-0.1888298,-1888
17,2025-06-09 10:27:01+00:00,2684895,1295545,0.87708837,8770,-0.26937982,-2693
18,2025-06-12 10:25:59+00:00,2684895,1295545,0.90111077,9011,-0.37957123,-3795
19,2025-06-14 10:16:21+00:00,2684895,1295545,0.88079464,8807,-0.33600536,-3360
20,2025-06-16 10:20:41+00:00,2684895,1295545,-0.0219561,-219,0.018738836,187
21,2025-06-17 10:26:21+00:00,2684895,1295545,0.9121913,9121,-0.45195732,-4519
22,2025-06-19 10:15:59+00:00,2684895,1295545,0.9134249,9134,-0.37178165,-3717
23,2025-06-19 10:30:41+00:00,2684895,1295545,0.876745,8767,-0.29939395,-2993
24,2025-06-22 10:25:59+00:00,2684895,1295545,0.91950464,9195,-0.37124804,-3712
25,2025-06-26 10:17:01+00:00,2684895,1295545,0.72607595,7260,-0.34041223,-3404
26,2025-06-29 10:27:01+00:00,2684895,1295545,0.9141104,9141,-0.44444445,-4444
27,2025-07-02 10:25:59+00:00,2684895,1295545,0.91621363,9162,-0.33240223,-3324
28,2025-07-04 10:20:41+00:00,2684895,1295545,0.73304474,7330,-0.13688211,-1368
29,2025-07-12 10:25:59+00:00,2684895,1295545,0.8020976,8020,-0.3760446,-3760
30,2025-07-09 10:15:59+00:00,2684895,1295545,0.014631365,146,0.004273515,42
31,2025-07-09 10:30:41+00:00,2684895,1295545,0.31416476,3141,-0.014466556,-144
32,2025-07-17 10:30:51+00:00,2684895,1295545,0.87363386,8736,-0.34347823,-3434
33,2025-07-19 10:15:59+00:00,2684895,1295545,0.86636823,8663,-0.3251418,-3251
34,2025-07-22 10:25:59+00:00,2684895,1295545,0.58976245,5897,0.37164754,3716
