,datetime,x,y,ndvi,ndvi_scaled,ndsi,ndsi_scaled
0,2025-04-03 10:25:59+00:00,2684955,1295675,0.7325228,7325,-0.3975577,-3975
1,2025-04-05 10:20:41+00:00,2684955,1295675,0.7804622,7804,-0.3915094,-3915
2,2025-04-07 10:17:01+00:00,2684955,1295675,0.7693122,7693,-0.3704172,-3704
3,2025-04-08 10:30:51+00:00,2684955,1295675,0.7374647,7374,-0.40189126,-4018
4,2025-04-23 10:25:59+00:00,2684955,1295675,0.36647224,3664,-0.05245345,-524
5,2025-04-28 10:30:51+00:00,2684955,1295675,0.5848664,5848,-0.2572659,-2572
6,2025-04-30 10:15:59+00:00,2684955,1295675,0.82777095,8277,-0.35216573,-3521
7,2025-04-30 10:27:01+00:00,2684955,1295675,0.8258968,8258,-0.31902984,-3190
8,2025-05-10 10:15:59+00:00,2684955,1295675,0.8749117,8749,-0.42577487,-4257
9,2025-05-10 10:30:31+00:00,2684955,1295675,0.86899,8689,-0.3439153,-3439
10,2025-05-13 10:25:59+00:00,2684955,1295675,0.87210035,8721,-0.32307696,-3230
11,2025-05-15 10:16:11+00:00,2684955,1295675,0.061600212,616,-0.0042464314,-42
12,2025-05-17 10:17:01+00:00,2684955,1295675,-0.024503693,-245,0.006565466,65
13,2025-05-18 10:26:21+00:00,2684955,1295675,0.39972147,3997,-0.3780415,-3780
14,2025-05-30 10:15:59+00:00,2684955,1295675,0.88958275,8895,-0.34067953,-3406
15,2025-05-30 10:30:41+00:00,2684955,1295675,0.9044872,9044,-0.32743362,-3274
16,2025-06-09 10:15:59+00:00,2684955,1295675,0.89302886,8930,-0.31071424,-3107
17,2025-06-09 10:27:01+00:00,2684955,1295675,0.8736472,8736,-0.2826855,-2826
18,2025-06-12 10:25:59+00:00,2684955,1295675,0.88439304,8843,-0.27789047,-2778
19,2025-06-14 10:16:21+00:00,2684955,1295675,0.82184786,8218,-0.33056375,-3305
20,2025-06-16 10:20:41+00:00,2684955,1295675,-0.015574968,-155,0.006702617,67
21,2025-06-17 10:26:21+00:00,2684955,1295675,0.88243574,8824,-0.39484122,-3948
22,2025-06-19 10:15:59+00:00,2684955,1295675,0.8784634,8784,-0.30409917,-3040
23,2025-06-19 10:30:41+00:00,2684955,1295675,0.8642448,8642,-0.32064697,-3206
24,2025-06-22 10:25:59+00:00,2684955,1295675,0.89710826,8971,-0.35201797,-3520
25,2025-06-26 10:17:01+00:00,2684955,1295675,0.6573687,6573,-0.136,-1360
26,2025-06-29 10:27:01+00:00,2684955,1295675,0.8919101,8919,-0.31791905,-3179
27,2025-07-02 10:25:59+00:00,2684955,1295675,0.9038637,9038,-0.3142202,-3142
28,2025-07-04 10:20:41+00:00,2684955,1295675,0.72359157,7235,-0.18198197,-1819
29,2025-07-12 10:25:59+00:00,2684955,1295675,0.6651646,6651,-0.20119675,-2011
30,2025-07-09 10:15:59+00:00,2684955,1295675,0.04114831,411,0.019313907,193
31,2025-07-09 10:30:41+00:00,2684955,1295675,0.27451634,2745,-0.018327363,-183
32,2025-07-17 10:30:51+00:00,2684955,1295675,0.794948,7949,-0.21016951,-2101
33,2025-07-19 10:15:59+00:00,2684955,1295675,0.82711446,8271,-0.29032257,-2903
34,2025-07-22 10:25:59+00:00,2684955,1295675,0.10408114,1040,-0.027726134,-277
